name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,mri,1,7,376,0.019,0,0,65% 0% 0% 0%,0.193
binarytrees,mri,1,14,376,3.916,18744,0,100% 1% 0% 0%,3.920
binarytrees,mri,1,21,376,1839.733,1558300,0,80% 21% 1% 1%,1841.282
binarytrees,jruby,4,7,364,8.800,160772,0,79% 80% 72% 66%,2.990
binarytrees,jruby,4,14,364,10.952,202304,0,78% 77% 65% 71%,3.793
binarytrees,jruby,4,21,364,184.090,1650420,0,48% 55% 46% 32%,102.471
binarytrees,mri,4,7,364,0.014,0,0,0% 100% 0% 50%,0.016
binarytrees,mri,4,14,364,3.402,18732,0,1% 100% 0% 1%,3.405
binarytrees,mri,4,21,364,1748.289,1558692,0,18% 2% 10% 71%,1749.831
binarytrees,typescript,2,7,448,0.103,0,0,100% 9% 0% 0%,0.102
binarytrees,typescript,2,14,448,0.282,920,0,8% 12% 0% 100%,0.252
binarytrees,typescript,2,21,448,95.454,652524,0,70% 46% 44% 45%,47.019
binarytrees,typescript,2,21,448,96.650,664376,0,46% 71% 45% 44%,47.473
binarytrees,typescript,2,21,448,96.816,651840,0,68% 47% 49% 44%,46.877
binarytrees,typescript,2,21,448,96.516,651680,0,52% 47% 45% 62%,46.932
binarytrees,typescript,2,21,448,97.179,628304,0,51% 70% 46% 45%,45.972
binarytrees,typescript,2,21,448,96.470,654952,0,46% 71% 45% 47%,46.438
binarytrees,yarv,5,7,1107,0.778,9924,0,31% 68% 6% 49%,0.516
binarytrees,yarv,5,14,1107,1.687,44196,0,79% 54% 74% 37%,0.703
binarytrees,yarv,5,21,1107,177.534,433920,0,79% 94% 87% 78%,52.826
binarytrees,php,1,7,451,0.013,0,0,28% 0% 7% 0%,0.261
binarytrees,php,1,14,451,0.828,15728,0,100% 1% 1% 0%,0.829
binarytrees,php,1,21,451,228.331,734884,0,29% 0% 0% 72%,228.499
binarytrees,hipe,2,7,478,0.275,0,0,45% 19% 29% 52%,0.203
binarytrees,hipe,2,14,478,0.363,1588,0,77% 33% 40% 23%,0.230
binarytrees,hipe,2,21,478,23.247,443688,0,72% 62% 68% 81%,8.278
binarytrees,hipe,2,21,478,23.268,438932,0,75% 76% 67% 77%,7.919
binarytrees,hipe,2,21,478,23.385,439920,0,68% 70% 85% 67%,8.113
binarytrees,hipe,2,21,478,23.349,438332,0,72% 81% 72% 68%,8.015
binarytrees,hipe,2,21,478,23.550,438240,0,69% 68% 65% 84%,8.290
binarytrees,hipe,2,21,478,23.233,438588,0,74% 75% 64% 76%,8.094
binarytrees,mri,2,7,378,0.016,0,0,0% 100% 0% 25%,0.029
binarytrees,mri,2,14,378,3.871,18724,0,100% 1% 0% 0%,3.875
binarytrees,mri,2,21,378,1839.647,1558396,0,35% 17% 1% 49%,1841.269
binarytrees,gpp,3,7,945,0.004,0,0,50% 100% 0% 0%,0.013
binarytrees,gpp,3,14,945,0.043,0,0,%,0.000
binarytrees,gpp,3,21,945,10.660,221600,0,46% 66% 43% 89%,4.433
binarytrees,gpp,3,21,945,10.712,221520,0,75% 50% 73% 47%,4.456
binarytrees,gpp,3,21,945,11.670,221792,0,99% 39% 55% 60%,4.669
binarytrees,gpp,3,21,945,10.652,221616,0,65% 89% 46% 42%,4.445
binarytrees,gpp,3,21,945,10.631,221768,0,67% 45% 89% 42%,4.431
binarytrees,gpp,3,21,945,11.100,221572,0,32% 74% 89% 49%,4.622
binarytrees,truffle,2,7,378,15.697,467312,0,87% 86% 88% 82%,4.616
binarytrees,truffle,2,14,378,30.586,575976,0,90% 90% 91% 87%,8.586
binarytrees,truffle,2,21,378,232.212,2207032,0,46% 41% 50% 61%,119.461
binarytrees,go,4,7,654,0.005,0,0,%,0.000
binarytrees,go,4,14,654,0.427,0,0,71% 77% 67% 64%,0.151
binarytrees,go,4,21,654,109.750,434632,0,95% 96% 96% 94%,28.844
binarytrees,go,4,21,654,111.052,409820,0,95% 95% 96% 96%,29.111
binarytrees,go,4,21,654,111.460,416296,0,95% 95% 96% 97%,29.212
binarytrees,go,4,21,654,111.122,399328,0,96% 95% 96% 94%,29.244
binarytrees,go,4,21,654,110.515,422076,0,96% 96% 96% 94%,28.984
binarytrees,go,4,21,654,109.578,432676,0,94% 95% 95% 97%,28.798
binarytrees,python3,2,7,338,0.034,8,0,16% 97% 5% 0%,0.394
binarytrees,python3,2,14,338,1.409,9292,0,1% 2% 3% 99%,1.411
binarytrees,python3,2,21,338,302.600,274460,0,1% 1% 1% 100%,302.741
binarytrees,vw,3,7,959,0.252,1032,0,11% 4% 89% 4%,0.261
binarytrees,vw,3,14,959,0.441,54384,0,9% 100% 2% 5%,0.437
binarytrees,vw,3,21,959,54.741,375532,0,83% 56% 86% 34%,31.239
binarytrees,vw,3,21,959,80.443,375560,0,61% 67% 83% 38%,32.496
binarytrees,vw,3,21,959,79.246,375528,0,55% 66% 30% 95%,32.402
binarytrees,vw,3,21,959,80.813,375460,0,74% 68% 39% 69%,32.587
binarytrees,vw,3,21,959,80.234,375480,0,56% 64% 84% 40%,33.201
binarytrees,vw,3,21,959,79.931,375516,0,45% 84% 58% 62%,32.305
binarytrees,yarv,2,7,378,2.077,12588,0,12% 25% 84% 41%,3.849
binarytrees,yarv,2,14,378,1.869,13836,0,70% 88% 45% 67%,1.130
binarytrees,yarv,2,21,378,160.952,440796,0,27% 8% 91% 9%,121.261
binarytrees,gnat,4,7,2107,0.006,0,0,0% 0% 0% 50%,0.023
binarytrees,gnat,4,14,2107,0.144,0,0,50% 43% 71% 50%,0.072
binarytrees,gnat,4,21,2107,27.209,202512,0,79% 90% 75% 82%,8.391
binarytrees,gnat,4,21,2107,27.263,202360,0,91% 74% 78% 77%,8.576
binarytrees,gnat,4,21,2107,27.308,202156,0,72% 95% 70% 77%,8.780
binarytrees,gnat,4,21,2107,27.178,202504,0,70% 94% 76% 79%,8.590
binarytrees,gnat,4,21,2107,27.384,202444,0,78% 96% 78% 73%,8.497
binarytrees,gnat,4,21,2107,27.633,202156,0,93% 80% 76% 73%,8.685
binarytrees,hack,3,7,425,0.440,114220,0,10% 16% 82% 2%,0.507
binarytrees,hack,3,14,425,0.574,113724,0,48% 11% 32% 15%,0.624
binarytrees,hack,3,21,425,31.034,395100,0,1% 1% 100% 0%,31.104
binarytrees,hack,3,21,425,31.050,395144,0,0% 1% 100% 0%,31.136
binarytrees,hack,3,21,425,31.041,394588,0,100% 0% 1% 1%,31.135
binarytrees,hack,3,21,425,30.939,395660,0,1% 0% 100% 1%,31.026
binarytrees,hack,3,21,425,31.133,394580,0,100% 0% 1% 1%,31.223
binarytrees,hack,3,21,425,31.050,395408,0,0% 85% 1% 15%,31.140
binarytrees,typescript,1,7,451,0.098,0,0,0% 0% 0% 100%,0.099
binarytrees,typescript,1,14,451,0.290,924,0,92% 12% 11% 12%,0.258
binarytrees,typescript,1,21,451,96.116,628868,0,48% 47% 51% 67%,46.919
binarytrees,typescript,1,21,451,98.163,638720,0,47% 48% 47% 71%,46.352
binarytrees,typescript,1,21,451,95.462,653260,0,45% 47% 43% 66%,47.678
binarytrees,typescript,1,21,451,95.847,652396,0,45% 73% 47% 40%,47.345
binarytrees,typescript,1,21,451,97.269,653224,0,72% 46% 48% 48%,45.794
binarytrees,typescript,1,21,451,96.844,651516,0,62% 54% 46% 48%,46.528
binarytrees,jruby,3,7,400,8.590,155764,0,66% 75% 67% 65%,3.230
binarytrees,jruby,3,14,400,9.919,196236,0,61% 56% 77% 74%,3.730
binarytrees,jruby,3,21,400,121.452,1820664,0,20% 36% 29% 33%,104.970
binarytrees,javaaot,7,7,835,0.006,0,0,100% 100% 100% 100%,0.013
binarytrees,javaaot,7,14,835,0.202,0,0,100% 88% 90% 89%,0.094
binarytrees,javaaot,7,21,835,44.722,795064,0,53% 62% 79% 87%,25.828
binarytrees,javaaot,7,21,835,45.369,703200,0,70% 72% 66% 74%,26.177
binarytrees,javaaot,7,21,835,43.157,662304,0,50% 54% 58% 61%,21.987
binarytrees,javaaot,7,21,835,44.494,771124,0,55% 41% 69% 36%,22.351
binarytrees,javaaot,7,21,835,46.086,791324,0,36% 51% 57% 51%,23.830
binarytrees,javaaot,7,21,835,44.443,746152,0,47% 63% 48% 42%,22.571
binarytrees,fsharpcore,2,7,482,0.206,0,0,5% 67% 45% 0%,0.197
binarytrees,fsharpcore,2,14,482,0.433,776,0,46% 9% 5% 55%,0.418
binarytrees,fsharpcore,2,21,482,43.021,884180,0,35% 29% 31% 17%,38.870
binarytrees,fsharpcore,2,21,482,44.131,883160,0,28% 35% 36% 13%,40.046
binarytrees,fsharpcore,2,21,482,43.324,887508,0,24% 36% 41% 11%,39.403
binarytrees,fsharpcore,2,21,482,42.742,883436,0,21% 44% 38% 9%,38.837
binarytrees,fsharpcore,2,21,482,44.467,884340,0,29% 30% 28% 24%,40.630
binarytrees,fsharpcore,2,21,482,43.180,885544,0,26% 35% 32% 20%,39.477
binarytrees,fsharpcore,4,7,488,0.211,0,0,70% 5% 0% 30%,0.202
