name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,swift,1,21,714,139.691,737460,0,72% 63% 70% 95%,46.695
binarytrees,mri,1,21,376,1839.733,1558300,0,80% 21% 1% 1%,1841.282
binarytrees,jruby,4,21,364,172.767,1772816,0,40% 40% 61% 44%,93.773
binarytrees,mri,4,21,364,1748.289,1558692,0,18% 2% 10% 71%,1749.831
binarytrees,typescript,2,21,448,95.213,659196,0,59% 57% 47% 52%,44.478
binarytrees,yarv,5,21,1083,140.986,367192,0,65% 62% 92% 59%,50.967
binarytrees,php,1,21,451,228.331,734884,0,29% 0% 0% 72%,228.499
binarytrees,sbcl,2,21,649,0.000,21116,-1,0% 1% 1% 0%,300.586
binarytrees,hipe,2,21,478,23.315,399604,0,71% 77% 85% 73%,7.632
binarytrees,mri,2,21,378,1839.647,1558396,0,35% 17% 1% 49%,1841.269
binarytrees,gpp,3,21,945,10.631,221792,0,67% 45% 89% 42%,4.431
binarytrees,truffle,2,21,378,232.212,2207032,0,46% 41% 50% 61%,119.461
binarytrees,go,4,21,654,109.578,434632,0,94% 95% 95% 97%,28.798
binarytrees,python3,2,21,338,307.845,275916,0,0% 14% 87% 0%,307.985
binarytrees,vw,3,21,938,83.716,375020,0,59% 78% 64% 71%,31.150
binarytrees,yarv,2,21,378,179.321,561492,0,13% 88% 0% 0%,179.438
binarytrees,gnat,4,21,2107,27.209,202512,0,79% 90% 75% 82%,8.391
binarytrees,hack,3,21,425,29.987,351104,0,27% 74% 1% 1%,30.021
binarytrees,typescript,1,21,451,94.747,658628,0,60% 43% 42% 69%,44.741
binarytrees,jruby,3,21,400,107.619,1868412,0,17% 43% 26% 33%,91.370
binarytrees,fsharpcore,2,21,482,42.893,1104908,0,27% 29% 18% 40%,38.249
binarytrees,fsharpcore,4,21,488,36.181,982168,0,22% 26% 30% 37%,31.648
binarytrees,ghc,2,21,491,55.833,453912,0,96% 35% 35% 38%,27.526
binarytrees,csharpcore,3,21,676,50.808,2298256,0,88% 81% 81% 78%,15.541
binarytrees,truffle,5,21,1107,414.605,2304072,0,92% 92% 92% 95%,112.246
binarytrees,truffle,3,21,400,221.365,2186464,0,50% 43% 37% 64%,114.964
binarytrees,go,3,21,640,137.766,874404,0,99% 96% 97% 95%,35.706
binarytrees,mri,5,21,1083,0.000,0,-2,0% 0% 0% 33%,0.028
binarytrees,rust,1,21,751,21.151,121308,0,90% 90% 78% 82%,6.254
binarytrees,go,9,21,508,97.467,257972,0,41% 48% 41% 45%,56.287
binarytrees,hipe,1,21,420,21.631,554100,0,45% 11% 45% 2%,21.460
