name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,swift,1,7,714,0.000,0,-2,%,0.000
binarytrees,swift,1,14,714,0.000,0,-2,%,0.000
binarytrees,swift,1,21,714,0.000,0,-2,%,0.000
binarytrees,mri,1,7,376,0.019,0,0,65% 0% 0% 0%,0.193
binarytrees,mri,1,14,376,3.916,18744,0,100% 1% 0% 0%,3.920
binarytrees,mri,1,21,376,1839.733,1558300,0,80% 21% 1% 1%,1841.282
binarytrees,jruby,4,7,364,9.409,164388,0,74% 73% 80% 76%,3.125
binarytrees,jruby,4,14,364,10.956,230312,0,67% 78% 71% 64%,3.921
binarytrees,jruby,4,21,364,172.767,1772816,0,40% 40% 61% 44%,93.773
binarytrees,mri,4,7,364,0.014,0,0,0% 100% 0% 50%,0.016
binarytrees,mri,4,14,364,3.402,18732,0,1% 100% 0% 1%,3.405
binarytrees,mri,4,21,364,1748.289,1558692,0,18% 2% 10% 71%,1749.831
binarytrees,typescript,2,7,448,0.110,0,0,0% 100% 9% 8%,0.110
binarytrees,typescript,2,14,448,0.292,900,0,4% 8% 100% 4%,0.264
binarytrees,typescript,2,21,448,95.213,659196,0,59% 57% 47% 52%,44.478
binarytrees,yarv,5,7,1083,0.127,7140,0,0% 96% 2% 0%,0.521
binarytrees,yarv,5,14,1083,0.850,39628,0,65% 67% 68% 38%,0.367
binarytrees,yarv,5,21,1083,140.986,367192,0,65% 62% 92% 59%,50.967
binarytrees,php,1,7,451,0.013,0,0,28% 0% 7% 0%,0.261
binarytrees,php,1,14,451,0.828,15728,0,100% 1% 1% 0%,0.829
binarytrees,php,1,21,451,228.331,734884,0,29% 0% 0% 72%,228.499
binarytrees,sbcl,2,7,649,0.000,21116,-1,0% 1% 1% 0%,300.586
binarytrees,sbcl,2,14,649,0.000,21116,-1,0% 1% 1% 0%,300.586
binarytrees,sbcl,2,21,649,0.000,21116,-1,0% 1% 1% 0%,300.586
binarytrees,hipe,2,7,478,0.180,0,0,23% 67% 8% 38%,0.135
binarytrees,hipe,2,14,478,0.287,0,0,33% 76% 24% 47%,0.166
binarytrees,hipe,2,21,478,23.315,399604,0,71% 77% 85% 73%,7.632
binarytrees,mri,2,7,378,0.016,0,0,0% 100% 0% 25%,0.029
binarytrees,mri,2,14,378,3.871,18724,0,100% 1% 0% 0%,3.875
binarytrees,mri,2,21,378,1839.647,1558396,0,35% 17% 1% 49%,1841.269
binarytrees,gpp,3,7,945,0.004,0,0,50% 100% 0% 0%,0.013
binarytrees,gpp,3,14,945,0.043,0,0,%,0.000
binarytrees,gpp,3,21,945,10.631,221792,0,67% 45% 89% 42%,4.431
binarytrees,truffle,2,7,378,15.697,467312,0,87% 86% 88% 82%,4.616
binarytrees,truffle,2,14,378,30.586,575976,0,90% 90% 91% 87%,8.586
binarytrees,truffle,2,21,378,232.212,2207032,0,46% 41% 50% 61%,119.461
binarytrees,go,4,7,654,0.005,0,0,%,0.000
binarytrees,go,4,14,654,0.427,0,0,71% 77% 67% 64%,0.151
binarytrees,go,4,21,654,109.578,434632,0,94% 95% 95% 97%,28.798
